,ticker,Y_actual,Y_predicted,Diff,mse,accuracy,hidden_layer_sizes,activation,solver,learning_rate
0,ICICIBANK,333.85,259.5135404289746,-74.33645957102544,381.68906954136526,0.6705808570203756,10.0,logistic,lbfgs,constant
1,ICICIBANK,333.85,266.85326538166623,-66.99673461833379,126.29098370293372,0.891003775226093,50.0,logistic,lbfgs,constant
2,ICICIBANK,333.85,276.32478156839124,-57.52521843160878,124.53892499161077,0.8925159004746034,100.0,logistic,lbfgs,constant
3,ICICIBANK,333.85,170.13512565124142,-163.7148743487586,148.50903208384437,0.8718283493614907,10.0,logistic,lbfgs,invscaling
4,ICICIBANK,333.85,228.3766494420941,-105.47335055790592,164.02892260797682,0.8584338106031749,50.0,logistic,lbfgs,invscaling
5,ICICIBANK,333.85,270.99510197205655,-62.85489802794348,166.8593718978372,0.855990973609091,100.0,logistic,lbfgs,invscaling
6,ICICIBANK,333.85,244.31167183841086,-89.53832816158916,425.60767629570773,0.6326766282845125,10.0,logistic,lbfgs,adaptive
7,ICICIBANK,333.85,272.673388342835,-61.17661165716504,167.8656281422455,0.855122517852553,50.0,logistic,lbfgs,adaptive
8,ICICIBANK,333.85,293.78407109620304,-40.06592890379699,116.64349099939959,0.8993301042512313,100.0,logistic,lbfgs,adaptive
9,ICICIBANK,333.85,194.39274290776814,-139.45725709223188,2650.747573807898,-1.287744302105259,10.0,logistic,sgd,constant
10,ICICIBANK,333.85,290.27726425680976,-43.572735743190265,5081.899881660347,-3.385965534031043,50.0,logistic,sgd,constant
11,ICICIBANK,333.85,313.00505149814796,-20.84494850185206,3650.895147561479,-2.1509279321603225,100.0,logistic,sgd,constant
12,ICICIBANK,333.85,251.77804079605582,-82.0719592039442,119.3898883732823,0.8969598087898679,10.0,logistic,sgd,invscaling
13,ICICIBANK,333.85,248.18901849045244,-85.66098150954758,79.85899758344613,0.9310771917708802,50.0,logistic,sgd,invscaling
14,ICICIBANK,333.85,187.083333451201,-146.766666548799,38.06438649325443,0.9671482927406855,100.0,logistic,sgd,invscaling
15,ICICIBANK,333.85,148.0414622697578,-185.80853773024222,3490.8188600775716,-2.012773089272966,10.0,logistic,sgd,adaptive
16,ICICIBANK,333.85,236.08078963382127,-97.76921036617875,3782.9918576286377,-2.2649348254492474,50.0,logistic,sgd,adaptive
17,ICICIBANK,333.85,270.8688727313941,-62.98112726860592,2462.177335133173,-1.1249975761108981,100.0,logistic,sgd,adaptive
18,ICICIBANK,333.85,220.1452347056538,-113.70476529434623,285.97298350868556,0.753189224789818,10.0,logistic,adam,constant
19,ICICIBANK,333.85,168.7895239537336,-165.06047604626642,216.99615478621385,0.8127201090001306,50.0,logistic,adam,constant
20,ICICIBANK,333.85,139.03966509285445,-194.81033490714557,125.60977124209226,0.8915916999086284,100.0,logistic,adam,constant
21,ICICIBANK,333.85,207.09598507025515,-126.75401492974487,376.819082325343,0.6747839300005671,10.0,logistic,adam,invscaling
22,ICICIBANK,333.85,132.00276892136736,-201.84723107863266,153.57453372708193,0.8674565364298753,50.0,logistic,adam,invscaling
23,ICICIBANK,333.85,117.345841614644,-216.50415838535602,108.38483896821413,0.9064577856321759,100.0,logistic,adam,invscaling
24,ICICIBANK,333.85,208.76025863923172,-125.0897413607683,247.2533115825987,0.7866064802476964,10.0,logistic,adam,adaptive
25,ICICIBANK,333.85,132.95549241409313,-200.8945075859069,159.61204729718096,0.8622458225145418,50.0,logistic,adam,adaptive
26,ICICIBANK,333.85,139.0188763647735,-194.83112363522653,109.92733929841813,0.9051265210574996,100.0,logistic,adam,adaptive
27,ICICIBANK,333.85,172.15505869064313,-161.6949413093569,96.69524608478777,0.9165465620125582,10.0,tanh,lbfgs,constant
28,ICICIBANK,333.85,-59.20532706150455,-393.05532706150456,908.3289967461177,0.2160609681299236,50.0,tanh,lbfgs,constant
29,ICICIBANK,333.85,51.69893225637569,-282.1510677436243,339.26363646093694,0.7071963928613345,100.0,tanh,lbfgs,constant
30,ICICIBANK,333.85,-20.19868030960035,-354.0486803096004,24.513287896425613,0.9788436532904744,10.0,tanh,lbfgs,invscaling
31,ICICIBANK,333.85,-29.33241813167038,-363.1824181316704,894.0070729187108,0.22842159422464747,50.0,tanh,lbfgs,invscaling
32,ICICIBANK,333.85,103.98204792767811,-229.8679520723219,226.22391587698237,0.8047560319732607,100.0,tanh,lbfgs,invscaling
33,ICICIBANK,333.85,132.07387590664234,-201.77612409335768,386.202330478853,0.6666856588899783,10.0,tanh,lbfgs,adaptive
34,ICICIBANK,333.85,70.17209523879099,-263.67790476120905,564.7895280688891,0.5125548590535243,50.0,tanh,lbfgs,adaptive
35,ICICIBANK,333.85,-13.436989957036104,-347.2869899570361,311.69318569712516,0.7309912431385246,100.0,tanh,lbfgs,adaptive
36,ICICIBANK,333.85,82.30917272802084,-251.5408272719792,2575.596804954935,-1.2228849601818719,10.0,tanh,sgd,constant
37,ICICIBANK,333.85,122.2554736061486,-211.59452639385142,3072.365298733183,-1.6516241212910545,50.0,tanh,sgd,constant
38,ICICIBANK,333.85,258.8291675593348,-75.02083244066523,2737.536159815415,-1.362647735041819,100.0,tanh,sgd,constant
39,ICICIBANK,333.85,-28.333631072476607,-362.1836310724766,108.90450536218931,0.9060092842948326,10.0,tanh,sgd,invscaling
40,ICICIBANK,333.85,72.135885573025,-261.714114426975,79.36510129444052,0.9315034520576642,50.0,tanh,sgd,invscaling
41,ICICIBANK,333.85,66.16017263401014,-267.6898273659899,71.22706798631559,0.9385270326939223,100.0,tanh,sgd,invscaling
